,title,description,search_term_tf_idf,search_term_bert
130,The Spymaster of Baghdad,"<i>The Spymaster of Baghdad</i> is the gripping story of the Falcons: the top-secret Iraqi intelligence unit that infiltrated the Islamic State. Against the backdrop of the most brutal conflict of recent decades, we chart the spymaster's struggle to develop the unit, follow the fraught relationship of two of his agents, the al-Sudani brothers - one undercover in ISIS, the other his handler - and track a disillusioned scientist as she turns bomb-maker. With unprecedented access to characters on all sides, Pulitzer Prize-finalist Margaret Coker challenges the conventional view that Western coalition forces defeated ISIS and reveals a page-turning story of unlikely heroes, unbelievable courage and good old-fashioned spycraft.",spymaster helen fry,military fiction
130,The Spymaster of Baghdad,"<i>The Spymaster of Baghdad</i> is the gripping story of the Falcons: the top-secret Iraqi intelligence unit that infiltrated the Islamic State. Against the backdrop of the most brutal conflict of recent decades, we chart the spymaster's struggle to develop the unit, follow the fraught relationship of two of his agents, the al-Sudani brothers - one undercover in ISIS, the other his handler - and track a disillusioned scientist as she turns bomb-maker. With unprecedented access to characters on all sides, Pulitzer Prize-finalist Margaret Coker challenges the conventional view that Western coalition forces defeated ISIS and reveals a page-turning story of unlikely heroes, unbelievable courage and good old-fashioned spycraft.",helen fry spymaster,military thriller
130,The Spymaster of Baghdad,"<i>The Spymaster of Baghdad</i> is the gripping story of the Falcons: the top-secret Iraqi intelligence unit that infiltrated the Islamic State. Against the backdrop of the most brutal conflict of recent decades, we chart the spymaster's struggle to develop the unit, follow the fraught relationship of two of his agents, the al-Sudani brothers - one undercover in ISIS, the other his handler - and track a disillusioned scientist as she turns bomb-maker. With unprecedented access to characters on all sides, Pulitzer Prize-finalist Margaret Coker challenges the conventional view that Western coalition forces defeated ISIS and reveals a page-turning story of unlikely heroes, unbelievable courage and good old-fashioned spycraft.",spymaster,military book
130,The Spymaster of Baghdad,"<i>The Spymaster of Baghdad</i> is the gripping story of the Falcons: the top-secret Iraqi intelligence unit that infiltrated the Islamic State. Against the backdrop of the most brutal conflict of recent decades, we chart the spymaster's struggle to develop the unit, follow the fraught relationship of two of his agents, the al-Sudani brothers - one undercover in ISIS, the other his handler - and track a disillusioned scientist as she turns bomb-maker. With unprecedented access to characters on all sides, Pulitzer Prize-finalist Margaret Coker challenges the conventional view that Western coalition forces defeated ISIS and reveals a page-turning story of unlikely heroes, unbelievable courage and good old-fashioned spycraft.",conflict,military history book
131,The End of Nature,"'Nature, we believe, takes forever. It moves with infinite slowness,' begins the first book to bring climate change to public attention. Interweaving lyrical observations from his life in the Adirondack Mountains with insights from the emerging science, Bill McKibben sets out the central developments not only of the environmental crisis now facing us but also the terms of our response, from policy to the fundamental, philosophical shift in our relationship with the natural world which, he argues, could save us. A moving elegy to nature in its pristine, pre-human wildness, <i>The End of Nature </i>is a milestone in environmental thought, indispensable to understanding how we arrived here.",climate change book,philosophy
131,The End of Nature,"'Nature, we believe, takes forever. It moves with infinite slowness,' begins the first book to bring climate change to public attention. Interweaving lyrical observations from his life in the Adirondack Mountains with insights from the emerging science, Bill McKibben sets out the central developments not only of the environmental crisis now facing us but also the terms of our response, from policy to the fundamental, philosophical shift in our relationship with the natural world which, he argues, could save us. A moving elegy to nature in its pristine, pre-human wildness, <i>The End of Nature </i>is a milestone in environmental thought, indispensable to understanding how we arrived here.",climate change delusion,philosophy
131,The End of Nature,"'Nature, we believe, takes forever. It moves with infinite slowness,' begins the first book to bring climate change to public attention. Interweaving lyrical observations from his life in the Adirondack Mountains with insights from the emerging science, Bill McKibben sets out the central developments not only of the environmental crisis now facing us but also the terms of our response, from policy to the fundamental, philosophical shift in our relationship with the natural world which, he argues, could save us. A moving elegy to nature in its pristine, pre-human wildness, <i>The End of Nature </i>is a milestone in environmental thought, indispensable to understanding how we arrived here.",dual nature,nature book
131,The End of Nature,"'Nature, we believe, takes forever. It moves with infinite slowness,' begins the first book to bring climate change to public attention. Interweaving lyrical observations from his life in the Adirondack Mountains with insights from the emerging science, Bill McKibben sets out the central developments not only of the environmental crisis now facing us but also the terms of our response, from policy to the fundamental, philosophical shift in our relationship with the natural world which, he argues, could save us. A moving elegy to nature in its pristine, pre-human wildness, <i>The End of Nature </i>is a milestone in environmental thought, indispensable to understanding how we arrived here.",nature,politics book 2022
131,The End of Nature,"'Nature, we believe, takes forever. It moves with infinite slowness,' begins the first book to bring climate change to public attention. Interweaving lyrical observations from his life in the Adirondack Mountains with insights from the emerging science, Bill McKibben sets out the central developments not only of the environmental crisis now facing us but also the terms of our response, from policy to the fundamental, philosophical shift in our relationship with the natural world which, he argues, could save us. A moving elegy to nature in its pristine, pre-human wildness, <i>The End of Nature </i>is a milestone in environmental thought, indispensable to understanding how we arrived here.",nature palette,sustainability book
132,Spitfire Girl,"<b>___________________________</b>
<b>1940. The height of the Blitz.</b>

In London, eighteen-year-old Susan Banks longs to do her duty in the war. Her secret ambition is to learn to fly - to serve her country and realise her dream. But she knows it is out of the question for a girl like her; a foundling, unwanted and unloved and dependent on strangers for her welfare.

Just as she fears she will be trapped forever in a life of servitude and loneliness, she meets Tony Richards, a flying instructor based in Hampshire. And when she is forced to flee London, she heads out into the country. She is taken in by the kindly landlord of the local inn and his daughter. As Susan works hard to earn her keep, and her friendship with Tony - now recalled to duty - blossoms into love, she dares to hope that things are at last looking up for her. But then she receives devastating news - Tony is missing in action. And Susan wonders if she'll ever see the man she loves again and realise her dream of becoming a Spitfire girl...",tony gosling,war fiction
132,Spitfire Girl,"<b>___________________________</b>
<b>1940. The height of the Blitz.</b>

In London, eighteen-year-old Susan Banks longs to do her duty in the war. Her secret ambition is to learn to fly - to serve her country and realise her dream. But she knows it is out of the question for a girl like her; a foundling, unwanted and unloved and dependent on strangers for her welfare.

Just as she fears she will be trapped forever in a life of servitude and loneliness, she meets Tony Richards, a flying instructor based in Hampshire. And when she is forced to flee London, she heads out into the country. She is taken in by the kindly landlord of the local inn and his daughter. As Susan works hard to earn her keep, and her friendship with Tony - now recalled to duty - blossoms into love, she dares to hope that things are at last looking up for her. But then she receives devastating news - Tony is missing in action. And Susan wonders if she'll ever see the man she loves again and realise her dream of becoming a Spitfire girl...",tony corden,ww2 fiction
